protein1,protein2,combined_score
ARF5,RAB11FIP3,952
M6PR,GGA3,993
M6PR,GGA1,957
M6PR,IGF2R,991
FKBP4,STIP1,979
FKBP4,FKBP5,972
FKBP4,GLMN,983
FKBP4,MTOR,961
FKBP4,PTGES3,990
FKBP4,DNAJB1,957
FKBP4,HSP90AB1,999
FKBP4,HSPA4,998
FKBP4,NR3C1,996
FKBP4,HSP90AA1,999
FKBP4,PGR,977
FKBP4,AHSA1,973
FKBP4,PHLPP1,993
CYP26B1,ALDH1A1,964
CYP26B1,ALDH1A3,973
CYP26B1,ALDH1A2,988
CYP26B1,NANOS2,956
SEMA3F,PLXNA1,992
SEMA3F,NRP1,999
SEMA3F,NRP2,999
SEMA3F,PLXNA3,999
CFTR,PRKACG,976
CFTR,RNF5,979
CFTR,GOPC,992
CFTR,TJP1,964
CFTR,PRKACA,982
CFTR,HSPA8,986
CFTR,SLC9A3R2,975
CFTR,HSP90AA1,986
CFTR,FLNA,957
CFTR,PRKAA1,953
CFTR,PRKACB,976
CFTR,HSP90AB1,964
CFTR,PDZK1,969
CFTR,SLC9A3R1,999
CFTR,STUB1,970
CYP51A1,NSDHL,989
CYP51A1,DHCR24,992
CYP51A1,SIGMAR1,985
CYP51A1,HMGCS1,984
CYP51A1,POR,960
CYP51A1,ERG28,995
CYP51A1,SC5D,987
CYP51A1,FDFT1,997
CYP51A1,HSD17B7,996
CYP51A1,DHCR7,978
CYP51A1,LBR,993
CYP51A1,LSS,999
CYP51A1,CH25H,976
CYP51A1,FAXDC2,972
CYP51A1,SQLE,998
CYP51A1,TM7SF2,996
CYP51A1,MSMO1,996
USP28,TP53BP1,998
USP28,UBC,991
USP28,UBA52,951
USP28,MYC,966
USP28,FBXW7,966
USH1C,ADGRV1,990
USH1C,MYO7A,999
USH1C,USH2A,990
USH1C,MYO7B,985
USH1C,PCDH15,992
USH1C,WHRN,950
USH1C,CDH23,999
USH1C,USH1G,999
USH1C,ANKS4B,995
RALA,EXOC5,960
RALA,PLD1,984
RALA,EXOC8,999
RALA,RASA1,988
RALA,RALBP1,999
RALA,RGL2,981
RALA,EXOC4,988
RALA,RALGDS,999
RALA,EXOC2,999
RALA,PLD2,974
RALA,RGL1,989
CACNG3,CACNA2D1,978
CACNG3,CACNG1,974
CACNG3,CACNA1D,957
CACNG3,CACNB4,958
DVL2,VANGL1,994
DVL2,DVL3,990
DVL2,DACT1,992
DVL2,FZD5,964
DVL2,DVL1,991
DVL2,AXIN2,969
DVL2,NKD2,957
DVL2,PRICKLE1,979
DVL2,ARRB2,981
DVL2,FZD4,985
DVL2,PRICKLE3,970
DVL2,FZD7,964
DVL2,FZD2,956
DVL2,NKD1,962
DVL2,LRP6,993
DVL2,APC,964
DVL2,GSK3B,976
DVL2,AXIN1,999
DVL2,WNT5A,978
DVL2,PARD6A,958
DVL2,CSNK1E,967
DVL2,PRICKLE2,971
DVL2,PRICKLE4,969
DVL2,DAAM1,978
DVL2,VANGL2,994
RPAP3,PDRG1,987
RPAP3,RUVBL1,999
RPAP3,PIH1D1,999
RPAP3,RPAP2,963
RPAP3,URI1,977
RPAP3,HSP90AA1,990
RPAP3,RUVBL2,999
RPAP3,HSP90AB1,992
RPAP3,WDR92,995
RPAP3,UXT,989
RPAP3,PFDN2,986
RPAP3,PFDN6,996
RPAP3,POLR2E,988
SKAP2,FYB1,981
CX3CL1,CCL11,992
CX3CL1,CCR5,977
CX3CL1,CSF2,953
CX3CL1,CCL5,971
CX3CL1,FGF13,968
CX3CL1,FGF2,971
CX3CL1,CXCR4,995
CX3CL1,CXCR1,994
CX3CL1,CX3CR1,999
CX3CL1,CD200R1,971
CX3CL1,CCR2,997
CX3CL1,CXCR3,990
CX3CL1,EGF,961
TRAPPC6A,TRAPPC2,999
TRAPPC6A,TRAPPC1,999
TRAPPC6A,TRAPPC4,999
TRAPPC6A,TRAPPC5,999
TRAPPC6A,TRAPPC8,998
TRAPPC6A,TRAPPC12,989
TRAPPC6A,TRAPPC10,992
TRAPPC6A,TRAPPC11,965
TRAPPC6A,TRAPPC2L,997
TRAPPC6A,TRAPPC2B,968
TRAPPC6A,TRAPPC9,995
TRAPPC6A,TRAPPC3,999
CRY1,NPAS2,999
CRY1,BHLHE40,969
CRY1,CRY2,999
CRY1,CLOCK,999
CRY1,NR1D1,976
CRY1,TIMELESS,997
CRY1,CSNK1D,993
CRY1,ARNTL,999
CRY1,FBXL3,999
CRY1,TPTEP2-CSNK1E,961
CRY1,CSNK1E,999
CRY1,PER1,998
CRY1,PER2,999
CRY1,BHLHE41,978
CRY1,PER3,999
CRY1,NR1D2,967
PGLYRP1,HSPA4,963
STARD3NL,STAR,987
CD74,RPL30,980
CD74,RPS17,978
CD74,MRPL36,971
CD74,HLA-DPB1,982
CD74,RPL4,982
CD74,RPS7,980
CD74,HLA-DQB1,997
CD74,RPS5,981
CD74,HLA-DOA,966
CD74,MRPL33,967
CD74,RPS28,980
CD74,RPS25,978
CD74,CXCR4,994
CD74,CD44,999
CD74,HLA-DQA2,992
CD74,MRPL12,971
CD74,MRPL21,969
CD74,RPL8,980
CD74,RPS20,981
CD74,MRPS9,957
CD74,CTSS,981
CD74,RPL23A,981
CD74,HLA-DQB2,966
CD74,RPS8,979
CD74,MRPL17,971
CD74,RPS15,981
CD74,RPS2,981
CD74,RPL24,975
CD74,RPL37A,972
CD74,MRPS6,969
CD74,UBA52,973
CD74,RPS6,978
CD74,TUFM,972
CD74,RPS24,981
CD74,RPL11,981
CD74,RPS21,979
CD74,RPL9,980
CD74,RPL18,977
CD74,HLA-DMA,994
CD74,MRPL32,968
CD74,RPL13,976
CD74,MIF,999
CD74,RPL6,980
CD74,RPL36,981
CD74,RPL27A,978
CD74,HLA-DQA1,994
CD74,HLA-DRB1,995
CD74,RPL7A,974
CD74,RPL23,981
CD74,RPS19,985
CD74,MRPS16,970
CD74,RACK1,976
CD74,RPL15,977
CD74,RPL35,980
CD74,RPSA,981
CD74,RPS12,979
CD74,RPL19,978
CD74,RPS16,981
CD74,RPL5,982
CD74,RPL34,979
CD74,RPS18,982
CD74,CXCR2,994
CD74,RPL12,977
CD74,CTSB,954
CD74,RPS9,982
CD74,RPL38,981
CD74,APP,985
CD74,RPS23,979
CD74,MRPL20,959
CD74,HLA-DMB,982
CD74,FAU,997
CD74,PDCD11,967
CD74,RPL29,979
CD74,RPL27,979
CD74,RPLP0,983
CD74,RPL32,979
CD74,RPS27A,974
CD74,HLA-DOB,975
CD74,RPS3A,980
CD74,HLA-DRB5,986
CD74,CTSL,993
